Product Description,Product Price,Rating,Details Link
Samsung Galaxy Note20 - 6.7-inch 256GB/8GB Dual SIM 4G Mobile Phone - Mystic Bronze,833,Not Found,https://www.jumia.com.eg/galaxy-note20-6.7-inch-256gb8gb-dual-sim-4g-mobile-phone-mystic-bronze-samsung-mpg742653.html
Samsung Galaxy Note20 - 6.7-inch 256GB/8GB Dual SIM 4G Mobile Phone - Mystic Green,833,3,https://www.jumia.com.eg/galaxy-note20-6.7-inch-256gb8gb-dual-sim-4g-mobile-phone-mystic-green-samsung-mpg744779.html
Samsung Galaxy Note20 - 6.7-inch 256GB/8GB Dual SIM 4G Mobile Phone - Mystic Gray,833,5,https://www.jumia.com.eg/galaxy-note20-6.7-inch-256gb8gb-dual-sim-4g-mobile-phone-mystic-gray-samsung-mpg742974.html
Samsung Galaxy A73 - 6.7-inch 8GB/128GB Dual Sim 5G Mobile Phone - Awesome Mint,651,Not Found,https://www.jumia.com.eg/samsung-galaxy-a73-6.7-inch-8gb128gb-dual-sim-5g-mobile-phone-awesome-mint-27980913.html
Samsung Galaxy Note20 - 6.7-inch 256GB/8GB Dual SIM 4G Mobile Phone - Mystic Bronze,833,4.5,https://www.jumia.com.eg/galaxy-note20-6.7-inch-256gb8gb-dual-sim-4g-mobile-phone-mystic-bronze-samsung-mpg884064.html
Samsung Galaxy Note20 - 6.7-inch 256GB/8GB Dual SIM 4G Mobile Phone - Mystic Gray,868,5,https://www.jumia.com.eg/samsung-galaxy-note20-6.7-inch-256gb8gb-dual-sim-4g-mobile-phone-mystic-gray-19370670.html
Samsung Galaxy Note20 - 6.7-inch 256GB/8GB Dual SIM 4G Mobile Phone - Mystic Bronze,833,4.5,https://www.jumia.com.eg/galaxy-note20-6.7-inch-256gb8gb-dual-sim-4g-mobile-phone-mystic-bronze-samsung-mpg884064.html
Samsung Galaxy Note20 - 6.7-inch 256GB/8GB Dual SIM 4G Mobile Phone - Mystic Gray,868,5,https://www.jumia.com.eg/samsung-galaxy-note20-6.7-inch-256gb8gb-dual-sim-4g-mobile-phone-mystic-gray-19370670.html
Samsung Galaxy Tab S6 Lite - 10.4-inch 64GB/4GB Single SIM 4G Tablet - Oxford Gray,624,4.2,https://www.jumia.com.eg/galaxy-tab-s6-lite-10.4-inch-64gb4gb-single-sim-4g-tablet-oxford-gray-samsung-mpg748201.html
Samsung Galaxy Tab S6 Lite - 10.4-inch 64GB/4GB Single SIM 4G Tablet - Angora Blue,622,4.2,https://www.jumia.com.eg/galaxy-tab-s6-lite-10.4-inch-64gb4gb-single-sim-4g-tablet-angora-blue-samsung-mpg734019.html
Samsung Galaxy A73 - 6.7-inch 8GB/128GB Dual Sim 5G Mobile Phone - Awesome Mint,651,Not Found,https://www.jumia.com.eg/samsung-galaxy-a73-6.7-inch-8gb128gb-dual-sim-5g-mobile-phone-awesome-mint-27980913.html
Samsung 55Q60B - 55-inch QLED 4K Smart TV (2022) 4 Ticks + OSN Free Subscription - 3 Months,677,Not Found,https://www.jumia.com.eg/samsung-55q60b-55-inch-qled-4k-smart-tv-2022-4-ticks-osn-free-subscription-3-months-27558360.html
Samsung QA43LS03A - 43-inch The Frame QLED 4K Smart TV + Free Bezel + OSN Free Subscription – 3 Months,713,Not Found,https://www.jumia.com.eg/samsung-qa43ls03a-43-inch-the-frame-qled-4k-smart-tv-free-bezel-osn-free-subscription-3-months-27558356.html
